audio,label
12101241542883945238.wav,label_12101241542883945238.txt
12101241542884039029.wav,label_12101241542884039029.txt
19192121433748280592.wav,label_19192121433748280592.txt
19192121433748376506.wav,label_19192121433748376506.txt
19192121433763589314.wav,label_19192121433763589314.txt
192312161497059321932.wav,label_192312161497059321932.txt
192312161497059402076.wav,label_192312161497059402076.txt
19235241489113440949.wav,label_19235241489113440949.txt
19241101543989406878.wav,label_19241101543989406878.txt
19241101543989508419.wav,label_19241101543989508419.txt
19261251455692707956.wav,label_19261251455692707956.txt
19261251455692794668.wav,label_19261251455692794668.txt
19266221559521161872.wav,label_19266221559521161872.txt
19266221559521278168.wav,label_19266221559521278168.txt
19266221559525152851.wav,label_19266221559525152851.txt
19266221559525232220.wav,label_19266221559525232220.txt
192710141494472749079.wav,label_192710141494472749079.txt
192711271498188492598.wav,label_192711271498188492598.txt
19272291528169270151.wav,label_19272291528169270151.txt
19291111474943765412.wav,label_19291111474943765412.txt
19292291466400774658.wav,label_19292291466400774658.txt
19292291466400854796.wav,label_19292291466400854796.txt
1929251492399657215.wav,label_1929251492399657215.txt
19299201542693849594.wav,label_19299201542693849594.txt
19299201542693934917.wav,label_19299201542693934917.txt
19301061548724119599.wav,label_19301061548724119599.txt
19301061548724197370.wav,label_19301061548724197370.txt
1930111542851950857.wav,label_1930111542851950857.txt
193012271507786661079.wav,label_193012271507786661079.txt
193012271507786744089.wav,label_193012271507786744089.txt
19302191527570510478.wav,label_19302191527570510478.txt
19302191527570588121.wav,label_19302191527570588121.txt
1930381535069240162.wav,label_1930381535069240162.txt
1930381535069333798.wav,label_1930381535069333798.txt
19306161542780427193.wav,label_19306161542780427193.txt
193111151543471213659.wav,label_193111151543471213659.txt
193111151543471292692.wav,label_193111151543471292692.txt
19311171558927340927.wav,label_19311171558927340927.txt
19311171558927425635.wav,label_19311171558927425635.txt
19313151537153080239.wav,label_19313151537153080239.txt
19313151537153189349.wav,label_19313151537153189349.txt
19314171492569555403.wav,label_19314171492569555403.txt
19314171492569636348.wav,label_19314171492569636348.txt
19316201545641677512.wav,label_19316201545641677512.txt
19316201545641781858.wav,label_19316201545641781858.txt
19316231524384405602.wav,label_19316231524384405602.txt
19317131463460431098.wav,label_19317131463460431098.txt
19317131463460513672.wav,label_19317131463460513672.txt
19317281543217504456.wav,label_19317281543217504456.txt
19317281543217582690.wav,label_19317281543217582690.txt
19318141539912351576.wav,label_19318141539912351576.txt
19318241459403270130.wav,label_19318241459403270130.txt
19318241459403363576.wav,label_19318241459403363576.txt
19318241520832666786.wav,label_19318241520832666786.txt
19318241520832748379.wav,label_19318241520832748379.txt
1931911527465865398.wav,label_1931911527465865398.txt
1931911527465981635.wav,label_1931911527465981635.txt
193210251504067975131.wav,label_193210251504067975131.txt
193210251504068096463.wav,label_193210251504068096463.txt
19321101465265918737.wav,label_19321101465265918737.txt
19321101465265998531.wav,label_19321101465265998531.txt
193211211528765520142.wav,label_193211211528765520142.txt
193211211528765600611.wav,label_193211211528765600611.txt
19321201532162111176.wav,label_19321201532162111176.txt
19321201532162207750.wav,label_19321201532162207750.txt
193212131496887977470.wav,label_193212131496887977470.txt
193212131496888063198.wav,label_193212131496888063198.txt
1932271530854164399.wav,label_1932271530854164399.txt
1932271530854258270.wav,label_1932271530854258270.txt
19323171454310349319.wav,label_19323171454310349319.txt
19324211499136165582.wav,label_19324211499136165582.txt
19324211499136259831.wav,label_19324211499136259831.txt
1932531492668988446.wav,label_1932531492668988446.txt
1932531492669074485.wav,label_1932531492669074485.txt
