audio,label
KaiSpeech_268389.pcm,KaiSpeech_label_268389.txt
KaiSpeech_181280.pcm,KaiSpeech_label_181280.txt
KaiSpeech_440942.pcm,KaiSpeech_label_440942.txt
KaiSpeech_360927.pcm,KaiSpeech_label_360927.txt
KaiSpeech_428848.pcm,KaiSpeech_label_428848.txt
KaiSpeech_350309.pcm,KaiSpeech_label_350309.txt
KaiSpeech_540192.pcm,KaiSpeech_label_540192.txt
KaiSpeech_296731.pcm,KaiSpeech_label_296731.txt
KaiSpeech_183883.pcm,KaiSpeech_label_183883.txt
KaiSpeech_490031.pcm,KaiSpeech_label_490031.txt
KaiSpeech_469867.pcm,KaiSpeech_label_469867.txt
KaiSpeech_282994.pcm,KaiSpeech_label_282994.txt
KaiSpeech_051788.pcm,KaiSpeech_label_051788.txt
KaiSpeech_517854.pcm,KaiSpeech_label_517854.txt
KaiSpeech_108372.pcm,KaiSpeech_label_108372.txt
KaiSpeech_159880.pcm,KaiSpeech_label_159880.txt
KaiSpeech_399269.pcm,KaiSpeech_label_399269.txt
KaiSpeech_435130.pcm,KaiSpeech_label_435130.txt
KaiSpeech_485271.pcm,KaiSpeech_label_485271.txt
KaiSpeech_108135.pcm,KaiSpeech_label_108135.txt
KaiSpeech_602750.pcm,KaiSpeech_label_602750.txt
KaiSpeech_401714.pcm,KaiSpeech_label_401714.txt
KaiSpeech_124420.pcm,KaiSpeech_label_124420.txt
KaiSpeech_018035.pcm,KaiSpeech_label_018035.txt
KaiSpeech_223207.pcm,KaiSpeech_label_223207.txt
KaiSpeech_077193.pcm,KaiSpeech_label_077193.txt
KaiSpeech_604373.pcm,KaiSpeech_label_604373.txt
KaiSpeech_128084.pcm,KaiSpeech_label_128084.txt
KaiSpeech_275330.pcm,KaiSpeech_label_275330.txt
KaiSpeech_023083.pcm,KaiSpeech_label_023083.txt
KaiSpeech_571876.pcm,KaiSpeech_label_571876.txt
KaiSpeech_355154.pcm,KaiSpeech_label_355154.txt
KaiSpeech_195705.pcm,KaiSpeech_label_195705.txt
KaiSpeech_510714.pcm,KaiSpeech_label_510714.txt
KaiSpeech_484002.pcm,KaiSpeech_label_484002.txt
KaiSpeech_375733.pcm,KaiSpeech_label_375733.txt
KaiSpeech_582716.pcm,KaiSpeech_label_582716.txt
KaiSpeech_420651.pcm,KaiSpeech_label_420651.txt
KaiSpeech_425758.pcm,KaiSpeech_label_425758.txt
KaiSpeech_518494.pcm,KaiSpeech_label_518494.txt
KaiSpeech_368709.pcm,KaiSpeech_label_368709.txt
KaiSpeech_007392.pcm,KaiSpeech_label_007392.txt
KaiSpeech_021280.pcm,KaiSpeech_label_021280.txt
KaiSpeech_071135.pcm,KaiSpeech_label_071135.txt
KaiSpeech_398621.pcm,KaiSpeech_label_398621.txt
KaiSpeech_444817.pcm,KaiSpeech_label_444817.txt
KaiSpeech_127218.pcm,KaiSpeech_label_127218.txt
KaiSpeech_164637.pcm,KaiSpeech_label_164637.txt
KaiSpeech_003879.pcm,KaiSpeech_label_003879.txt
KaiSpeech_221609.pcm,KaiSpeech_label_221609.txt
KaiSpeech_079847.pcm,KaiSpeech_label_079847.txt
KaiSpeech_373810.pcm,KaiSpeech_label_373810.txt
KaiSpeech_403503.pcm,KaiSpeech_label_403503.txt
KaiSpeech_143588.pcm,KaiSpeech_label_143588.txt
KaiSpeech_372908.pcm,KaiSpeech_label_372908.txt
KaiSpeech_085907.pcm,KaiSpeech_label_085907.txt
KaiSpeech_297462.pcm,KaiSpeech_label_297462.txt
KaiSpeech_310247.pcm,KaiSpeech_label_310247.txt
KaiSpeech_415180.pcm,KaiSpeech_label_415180.txt
KaiSpeech_313222.pcm,KaiSpeech_label_313222.txt
KaiSpeech_144379.pcm,KaiSpeech_label_144379.txt
KaiSpeech_293234.pcm,KaiSpeech_label_293234.txt
KaiSpeech_275912.pcm,KaiSpeech_label_275912.txt
KaiSpeech_485564.pcm,KaiSpeech_label_485564.txt
KaiSpeech_381796.pcm,KaiSpeech_label_381796.txt
KaiSpeech_019148.pcm,KaiSpeech_label_019148.txt
KaiSpeech_100834.pcm,KaiSpeech_label_100834.txt
KaiSpeech_539596.pcm,KaiSpeech_label_539596.txt
KaiSpeech_563707.pcm,KaiSpeech_label_563707.txt
KaiSpeech_445948.pcm,KaiSpeech_label_445948.txt
KaiSpeech_564970.pcm,KaiSpeech_label_564970.txt
KaiSpeech_460817.pcm,KaiSpeech_label_460817.txt
KaiSpeech_472354.pcm,KaiSpeech_label_472354.txt
KaiSpeech_184380.pcm,KaiSpeech_label_184380.txt
KaiSpeech_622339.pcm,KaiSpeech_label_622339.txt
KaiSpeech_620715.pcm,KaiSpeech_label_620715.txt
KaiSpeech_164185.pcm,KaiSpeech_label_164185.txt
KaiSpeech_308283.pcm,KaiSpeech_label_308283.txt
KaiSpeech_265873.pcm,KaiSpeech_label_265873.txt
KaiSpeech_027544.pcm,KaiSpeech_label_027544.txt
KaiSpeech_466732.pcm,KaiSpeech_label_466732.txt
KaiSpeech_341644.pcm,KaiSpeech_label_341644.txt
KaiSpeech_274417.pcm,KaiSpeech_label_274417.txt
KaiSpeech_049206.pcm,KaiSpeech_label_049206.txt
KaiSpeech_291365.pcm,KaiSpeech_label_291365.txt
KaiSpeech_431076.pcm,KaiSpeech_label_431076.txt
KaiSpeech_273505.pcm,KaiSpeech_label_273505.txt
KaiSpeech_296215.pcm,KaiSpeech_label_296215.txt
KaiSpeech_403341.pcm,KaiSpeech_label_403341.txt
KaiSpeech_058476.pcm,KaiSpeech_label_058476.txt
KaiSpeech_419950.pcm,KaiSpeech_label_419950.txt
KaiSpeech_487202.pcm,KaiSpeech_label_487202.txt
KaiSpeech_202885.pcm,KaiSpeech_label_202885.txt
KaiSpeech_301637.pcm,KaiSpeech_label_301637.txt
KaiSpeech_001974.pcm,KaiSpeech_label_001974.txt
KaiSpeech_554548.pcm,KaiSpeech_label_554548.txt
KaiSpeech_201195.pcm,KaiSpeech_label_201195.txt
KaiSpeech_287944.pcm,KaiSpeech_label_287944.txt
KaiSpeech_446783.pcm,KaiSpeech_label_446783.txt
KaiSpeech_548203.pcm,KaiSpeech_label_548203.txt
KaiSpeech_076368.pcm,KaiSpeech_label_076368.txt
KaiSpeech_600717.pcm,KaiSpeech_label_600717.txt
KaiSpeech_608946.pcm,KaiSpeech_label_608946.txt
KaiSpeech_534933.pcm,KaiSpeech_label_534933.txt
KaiSpeech_268869.pcm,KaiSpeech_label_268869.txt
KaiSpeech_617464.pcm,KaiSpeech_label_617464.txt
KaiSpeech_196235.pcm,KaiSpeech_label_196235.txt
KaiSpeech_117471.pcm,KaiSpeech_label_117471.txt
KaiSpeech_328976.pcm,KaiSpeech_label_328976.txt
KaiSpeech_006462.pcm,KaiSpeech_label_006462.txt
KaiSpeech_438957.pcm,KaiSpeech_label_438957.txt
KaiSpeech_279506.pcm,KaiSpeech_label_279506.txt
KaiSpeech_178477.pcm,KaiSpeech_label_178477.txt
KaiSpeech_588924.pcm,KaiSpeech_label_588924.txt
KaiSpeech_456390.pcm,KaiSpeech_label_456390.txt
KaiSpeech_058709.pcm,KaiSpeech_label_058709.txt
KaiSpeech_482102.pcm,KaiSpeech_label_482102.txt
KaiSpeech_563016.pcm,KaiSpeech_label_563016.txt
KaiSpeech_484908.pcm,KaiSpeech_label_484908.txt
KaiSpeech_266328.pcm,KaiSpeech_label_266328.txt
KaiSpeech_320212.pcm,KaiSpeech_label_320212.txt
KaiSpeech_295906.pcm,KaiSpeech_label_295906.txt
KaiSpeech_484188.pcm,KaiSpeech_label_484188.txt
KaiSpeech_486999.pcm,KaiSpeech_label_486999.txt
KaiSpeech_581392.pcm,KaiSpeech_label_581392.txt
KaiSpeech_617672.pcm,KaiSpeech_label_617672.txt
KaiSpeech_577056.pcm,KaiSpeech_label_577056.txt
KaiSpeech_343185.pcm,KaiSpeech_label_343185.txt
KaiSpeech_207254.pcm,KaiSpeech_label_207254.txt
KaiSpeech_527318.pcm,KaiSpeech_label_527318.txt
KaiSpeech_304042.pcm,KaiSpeech_label_304042.txt
KaiSpeech_092018.pcm,KaiSpeech_label_092018.txt
KaiSpeech_523580.pcm,KaiSpeech_label_523580.txt
KaiSpeech_287600.pcm,KaiSpeech_label_287600.txt
KaiSpeech_056354.pcm,KaiSpeech_label_056354.txt
KaiSpeech_446813.pcm,KaiSpeech_label_446813.txt
KaiSpeech_590743.pcm,KaiSpeech_label_590743.txt
KaiSpeech_373487.pcm,KaiSpeech_label_373487.txt
KaiSpeech_303768.pcm,KaiSpeech_label_303768.txt
KaiSpeech_312711.pcm,KaiSpeech_label_312711.txt
KaiSpeech_569592.pcm,KaiSpeech_label_569592.txt
KaiSpeech_145149.pcm,KaiSpeech_label_145149.txt
KaiSpeech_253034.pcm,KaiSpeech_label_253034.txt
KaiSpeech_405601.pcm,KaiSpeech_label_405601.txt
KaiSpeech_313878.pcm,KaiSpeech_label_313878.txt
KaiSpeech_383239.pcm,KaiSpeech_label_383239.txt
KaiSpeech_406819.pcm,KaiSpeech_label_406819.txt
KaiSpeech_183423.pcm,KaiSpeech_label_183423.txt
KaiSpeech_399931.pcm,KaiSpeech_label_399931.txt
KaiSpeech_211394.pcm,KaiSpeech_label_211394.txt
KaiSpeech_436305.pcm,KaiSpeech_label_436305.txt
KaiSpeech_199639.pcm,KaiSpeech_label_199639.txt
KaiSpeech_009822.pcm,KaiSpeech_label_009822.txt
KaiSpeech_039968.pcm,KaiSpeech_label_039968.txt
KaiSpeech_189766.pcm,KaiSpeech_label_189766.txt
KaiSpeech_207213.pcm,KaiSpeech_label_207213.txt
KaiSpeech_009182.pcm,KaiSpeech_label_009182.txt
KaiSpeech_087911.pcm,KaiSpeech_label_087911.txt
KaiSpeech_263559.pcm,KaiSpeech_label_263559.txt
KaiSpeech_236197.pcm,KaiSpeech_label_236197.txt
KaiSpeech_583214.pcm,KaiSpeech_label_583214.txt
KaiSpeech_556144.pcm,KaiSpeech_label_556144.txt
KaiSpeech_093779.pcm,KaiSpeech_label_093779.txt
KaiSpeech_014248.pcm,KaiSpeech_label_014248.txt
KaiSpeech_340715.pcm,KaiSpeech_label_340715.txt
KaiSpeech_011683.pcm,KaiSpeech_label_011683.txt
KaiSpeech_189049.pcm,KaiSpeech_label_189049.txt
KaiSpeech_381180.pcm,KaiSpeech_label_381180.txt
KaiSpeech_137814.pcm,KaiSpeech_label_137814.txt
KaiSpeech_243530.pcm,KaiSpeech_label_243530.txt
